VEICULOS;PLACA;RENAVAM;OBSERVAÇÕES;DATA;DONO;SITUAÇÃO;VALOR DE COMPRA R$
VW SPACEFOX 1.6 SPORTLINE 2008/2009 PRETO;MST4287;14807064;COMPRADO NA PODIUM VEICULO DE CAMPOS;;;FINALIZADO;
CITROEN C3 GLX 1.4 FLEX 2006/2006 AZUL;MQX9728;898475414;VEICULO EM NOME DA RENAULT ATLANCITCA;;;FINALIZADO;
VW CROSSFOX GII 2010/2011 VERMELHO;MTX86797;280417306;VEICULO COMPRADO NA VOLKSWAGEM VITORIA;;;CONCESSIONÁRIA;
FIAT SIENA FIRE FLEX 2009/2010 BRANCO;MSS7E65;148992684;VEICULO COMPRADO NA ATLANTICA RENAULT SERRA ENTREGUE A ROBINHO DIA 04.12.2020;12/04/2020;;FINALIZADO;
VW FOX 1.0 2007/2008 VERMELHO;MRT7624;950297674;VEICULO ADQUIRIDO EM 04/11/2020 NA TROCA DO AGILE NAQ7F94;11/04/2020;;FINALIZADO;
PEUGEOT 207 PASSION XR S 2011/2011 PRETO;EYB3049;329192035;VEICULO EM NOME DA ATLANTICA RENAULT;;;FINALIZADO;R$ 12.200,00
VW SAVEIRO 1.6 CS 2009/2010 BRANCA;MTB1D58;190874333;VEICULO EM NOME DERECREIO VITORIA VEICULOS VITORIA;;;FINALIZADO;
FIAT WEEKEND TREKKING 2014/2015 BRANCA;OYJ9C20;1017109980;DOCUMENTO ENTREGUE EM 18.11.2020;18/11/2020;;FINALIZADO;
VW NOVO VOYAGE 1.6 2012/2013 VERMELHO;ODO8904;495209066;VEICULO EM NOME DA RENAULT ATLANTICA;;;FINALIZADO;R$ 24.500,00
VW POLO 1.6 2010/2010 PRETO;MTA9A67;202518728;VEICULO EM NOME DA ATLANTICA RENAULT. ENTREGUE DIA 10.12.2020;12/10/2020;;FINALIZADO;
TOYOTA COROLLA XLI 2004/2005 PRATA;DKX7955;840966628;VEICULO EM NOME DA KURUMA SERRA;;;FINALIZADO;
VW GOL 1.0 CITY MT 2014/2015 BRANCO;PPA2505;1016387315;VEICULO EM NOME DA CVC SERRA ENTREGUE A ROBINHO DIA 04.12.2020;12/04/2020;;FINALIZADO;
HONDA FIT LX FLEX 2009/2010 PRATA;HMQ4949;193629577;VEICULO ADQUIRIDONO DIA 09/09/2020 NA TROCA DO ONIX 1.4 OZQ4J48;09/09/2020;;FINALIZADO;
VW SPACEFOX 1.6 2009/2010 PRATA;MTA1H76;184696020;EM PROCESSO DE TRANSFERENCIA. ENTREGUE DIA 08.12.2020;12/08/2020;;FINALIZADO;
GM AGILE LTZ 2011/2012 BRANCO;NZQ7F94;455084254;DOCUMENTO ENTREGUE EM 16.11.2020;16/11/2020;;FINALIZADO;
FORD FIESTA 2011/2012 VERMELHO;NZI2A45;386423652;DOCUMENTO ENTREGUE EM 16.11.2020;16/11/2020;;FINALIZADO;
VW GOL 1.6 POWER 2002/2003 PRATA;MTR1560;790475880;RECIBO COM O CLIENTE. AGUARDANDO ELE TRAZER PARA DARMOS ENTRADA NA TRANSFERENCIA;;BIDA;FINALIZADO;
GM ONIX 1.0 2015/2015 BRANCO;PPH0F22;1058256200;EM PROCESSO DE TRANSFERENCIA. ENTREGUE DIA 0812.2020;12/08/2020;;FINALIZADO;
VW FOX 1.0 GII PRATA 2011/2012;ODC8849;390043290;CHEGOU 26.11.2020, CVC VITORIA;26/11/2020;;ROBINHO;
FIAT UNO ELECTRONIC 1995/1995 VERMELHO;GQX4C90;634434233;RECIBO EM BRANCO COM CLIENTE. VEICULO DE REPASSE;;;FINALIZADO;
VW SAVEIRO RB 2018/2018 BRANCA;PPY5848;1159718978;ENTRADA DIA 01.12.2020,DOCUMENTO NA RENAULT ATLANTICA;12/01/2020;;FINALIZADO;
FIAT PALIO FIRE 2005/2006 BRANCA;MQH7362;851435394;ADQUIRIDO EM 02.12.2020 NA TROCA DA MERIVA BRANCA.;12/02/2020;;SEGUNDA VIA;
GM CELTA 3 PORTAS 2003/2004;LRP0A77;816817860;PROCESSO FINALIZADO PRANCHA;;;FINALIZADO;
VW PARATI 1.6 2010/2010';MSR7129;195213041;PROCESSO FINALIZADO;;;FINALIZADO;
VW CROSSFOX GII 2011/2012 BRANCO;ODD1B88;399546227;DOCUMENTO NA ATLANTICA. CHEGOU DIA 10.12.2020;12/10/2020;;FINALIZADO;
FIAT SIENA FIRE FLEX 2007/2007 CINZA;MQU5494;907856373;RECIBO NA GAVETA EM BRANCO PARA TRANSFERIR;;;FINALIZADO;
FIAT SIENA ESSENCE 1.6 2013 2014 BRANCO;OVI6D58;559208537;CHEGOU DIA 11.12.2020, RECIBO NA CONCECIONARIA;12/11/2020;;FINALIZADO;
VW SAVEIRO 1.6 CS 2009/2010 BRANCA;MTB1D58;190874333;ENTRGUE DIA 16.12.2020;16/12/2020;;FINALIZADO;
JAC J3 TURIM 2011/2012 PRATA;NYY3D86;33455050;ENTREGUE DIA 16.12.2020;16/12/2020;;FINALIZADO;
GM PRISMA MAXX 2008/2009;MSB1661;964144379;DOCUMENTO NA CONCECIONARIA. CHEGOU DIA 22.12.2020;22/12/2020;;FINALIZADO;
VW NOVA SAVEIRO CS 2014/2014 BRANCA;OYG3857;998924750;RECIBO NA CONCECIONARIA. CHEGOU DIA 23.12.2020;23/12/2020;;FINALIZADO;
FORD ECOSPORT XLT 1.6 2007/2007 PRETA;MRA4E26;908296371;RECIBO NA CONCECIONARIA. CHEGOU DIA 23.12.2020;23/12/2020;;FINALIZADO;
FIAT SIENA EL FLEX 2009/2010 BRANCO;MSV0748;164809007;RECIBO NA CONCECIONARIA. CHEGOU DIA 22.12.2020;22/12/2020;;FINALIZADO;
VW FOX 1.6 GII ANO 2011/2011 PRATA;MTY9630;293795096;RECIBO NA CONCECIONARIA. CHEGOU DIA 22.12.2020;22/12/2020;;FINALIZADO;
FORD FIESTA FLEX 2012/2013 BRANCO;OKI1E03;475309+057;DOCUMENTO FINALIZADO;;ROMILDO;FINALIZADO;
VW FOX 2010/2010 VERMELHO;MTE0570;200472720;VEICULO CHEGOU DIA 11.01.2021.;01/11/2021;;FINALIZADO;
VW VOYAGE 1.0 2011/2012 CINZA;KWC4G17;454269110;ENTREGUE A ROBINHO DIA 12.01.2020;01/12/2020;;FINALIZADO;
VW CROSSFOX GII 2010/2011 VERMELHO;MTX6H97;280417306;ENTREGUE A ROBINHO DIA 12.01.2020;01/12/2020;;ROBINHO;
VW VOYAGE 1.6 2011/2012 PRATA;ODG4I68;456394435;PROCESSO FINALIZADO;;;FINALIZADO;
GM AGILE LTZ 2009/2010 PRETO;MSZ6406;181428989;ENTREGUE A ROBINHO DIA 27/01/2021;27/01/2021;;FINALIZADO;
CITROEN C3 AIRCROSS 2010/2011 PRETA;NTC3401;283785942;ENTREGUE A ROBINHO 27.01.2021;27/01/2021;;FINALIZADO;
FIAT PALIO WEEK STRC 2010/2011 PRATA;MTE7353;218881509;ENTREGUE A ROBINHO 27.01.2021;27/01/2021;;FINALIZADO;
FIAT PUNTO ATRCTIVE 2012/2012 BRANCO;KVQ9E03;461945940;CHEGOU DIA 27.01.2021;27/01/2021;;FINALIZADO;
VW GOL 1.0 2009/2009 PRETO;JSB0563;128764198;TIRANDO SEGUNDA VIA;;;SEGUNDA VIA - FINALIZADA;
FORD FIESTA SEDAN 1.6 2012/2013 BRANCA;ODK1E73;473254409;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;
VW FOX 1.0 GII 2012/2013 BRANCO;ODJ3774;469018763;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;
FIAT STRADA WORKING 2012/2012 BRANCA;OVK2395;585415056;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;R$ 21.500,00
GM CLASSIC 2011/2011 PRATA;MTW4346;324001517;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;
RENAULT SANDERO EXP 2009/2010 PRETO;NMJ4E25;156111020;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;R$ 16.000,00
FIAT LINEA HLX 1.9 DUAL 2009/2010 PRATA;MSV4763;158690192;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;
FIAT SIENA EL 1.4 2011/2012 BRANCO;HIM2429;338803629;CHEGOU DIA 25.01.2021;25/01/2021;;FINALIZADO;
VW FOX 2007/2008 VERMELHO;MRJ4502;924409584;CHEGOU DIA 27.01.2021;27/01/2021;;FINALIZADO;R$ 11.700,00
VW NOVO GOL 1.6 2012/2013 PRATA;NBQ7I21;505919470;CHEGOU DIA 12.02.2021;02/12/2021;;FINALIZADO;
VW SAPACEFOX SPORTLINE 2008/2009 PRETA;MST4C87;148070647;PRONTO DIA 12.02.2021;02/12/2021;;FINALIZADO;
VW POLO 1.6 2005/2006 1.6 PRATA;MQJ2265;855141107;CHEGOU DIA 25.02.2021;25/02/2021;;FINALIZADO;R$ 12.500,00
TOYOTA COROLLA XLI 2007/2007 PRETO;MRA2929;908961219;CHEGOU DIA 25.02.2021;25/02/2021;;FINALIZADO;R$ 19.000,00
FORD FIESTA 1.6 FLEX 2009/2009 VERDE;MSL7H71;124836305;CHEGOU DIA 25.02.2021;25/02/2021;;FINALIZADO;R$ 15.500,00
PEUGEOT 207 PASSION XR 2012/2013 BRANCO;ODR5188;507224957;CHEGOU DIA 25.02.2021;25/02/2021;;SEGUNDA VIA;R$ 18.450,00
VW POLO 1.6 2002/2003 VERMELHO;AKW6695;802579760;CHEGOU DIA 25.02.2021;25/02/2021;;ROBINHO;R$ 12.000,00
CITROEN C3 2009/2010 PRETO;MTA7901;184824273;CHEGOU DIA 25.02.2021;25/02/2021;;FINALIZADO;R$ 13.150,00
VW GOL 1.0 2007/2008 CINZA 2P;LRW2109;942559118;TROCA COM FOX 1.6 GII MTY9630;;;GAVETA;R$ 9.500,00
FORD FIESTA 1.6 FLEX ANO 2009/2009 COR VERMELHA;MSS1H29;144688328;DOCUMENTO TRANSFERIDO PRA LOJA;;;FINALIZADO;R$ 15.450,00
CITROEN X SARA PICASSO 2006/2007 PRATA;DVN4062;905223420;TROCA COM O VOYAGE 2013/2013 VERMELHO;;;FINALIZADO;R$ 12.000,00
FIAT IDEA ATRAC 2011/2011 VERMELHO;MTZ3602;302340050;COMPRADO NA TAI VITORIA;;;FINALIZADO;R$ 20.400,00
VW POLO 1.6 2002/2003 VERMELHO;AKV6695;802579760;TROCA COM ROBINHO DESPACHANTE NO LINEA;;;FINALIZADO;R$ 12.000,00
FIATPALIO ATRACTIVE 1.0 2014/2015 PRATA;PUN2J75;1265116978;COMPRADO NA KIA VIANA;;;FINALIZADO;R$ 26.000,00
VW FOX 1.0 2007/2007 BRANCO;MRN2897;932533272;COMPRADO NA VITORIAWAGEM VITORIA;;;FINALIZADO;R$ 12.000,00
VW SPACEFPX HIGHT GII 2013/2014;OYF1E91;95057370;DOCUMENTO FINALIZADO EM NOME DA LOJA;;;FINALIZADO;R$ 28.300,00
FIAT PALIO FIRE 2009/2010 PRATA;MSR5081;143561480;ENTROU NA TROCA DO FOX 1.0ODJ3774;;;FINALIZADO;R$ 16.000,00
FIAT PALIO EX 2000/2000 CINZA;KRC6303;739507800;TROCA COM SIENA MSX0B24. VEICULO VENDIDO PARA PRANCHA;;;FINALIZADO;R$ 5.000,00
VW GOL 1.0 GIV 2009/2009 VERMELHO;MSO8568;125037007;TROCA DO FIESTA SEDAN ODK1E73;;;FINALIZADO;R$ 12.800,00
FIAT IDEA LX 2008/2009 PRATA;MSH9F79;981867910;COMPRADO NA KURUMA SERRA 19.03.2021;19/03/2021;;FINALIZADO;R$ 16.000,00
FORD FIESTA SE 2010/2011 PRETA;MTS2C21;253538750;TROCA COM O SPACEFOX OYF1EX91. DOCUMENTO ESTA SOLTO NA GAVETA;;;FINALIZADO;R$ 23.800,00
FIAT LINEA HLX 1.8 DUAL 2011/2011 DL;HHG0160;327941227;COMPADO NA KURUMA;;;FINALIZADO;R$ 17.500,00
FIAT SIENA 2009/2010PRATA;MSX0B24;165515392;ENTRADA DIA 01.042021. CVC SERRA;;;FINALIZADO;R$ 18.600,00
FIAT STRADA 2007/2008 CINZA;MRO8235;935651845;TROCA COM A STRADA 2013/2013 BRANCA;;PRANCHA JÁ TRANSF P/ CLIENTE;FINALIZADO;R$ 13.000,00
HONDA CG 150 FAN AMARELA 2012/2013;ODK9C15;503505188;TROCA COM STRADA 2013/2013 BRANCA;;;FINALIZADO;R$ 5.500,00
FIAT PALIO ELX FIRE 2010/2011 PRATA;MTP6I40;228284023;COMPRADO NA CVC GUARAPARI;;;FINALIZADO;R$ 17.500,00
FIAT PALIO FIRE 2003/2004 PRATA;ALJ4F11;817255222;ENTROU DIA 01.04.2021;04/01/2021;;FINALIZADO;R$ 7.500,00
PEUGEOT 207 PASSOIM XS PRATA;MTR4A34;214862119;COMPRADO NA CVC SERRA;;;FINALIZADO;R$ 14.500,00
GM AGILE LT 2010/2011 CINZA;MTS2176;251531902;COMPRADO NA MULT COMERCIO VILA VELHA;;;FINALIZADO;R$ 19.150,00
FORD ECOSPORT XLS 1.6L 2005/2005 PRATA;MQG3B33;847816303;ENTROU NO DIA 12.04.2021 NA TROCA DO MERIVA MSQ4J89;04/12/2021;;FINALIZADO;R$ 15.000,00
VW GOL 1.0 2010/2011 CINZA;MTS1994;229970346;COMPRADO NA KURUMA EM 10/03/2021;03/10/2021;;FINALIZADO;R$ 16.500,00
FIAT SIENA ATRACT 1.4 2013/2013 PRATA;OPE9A79;506876624;VEICULO COMPRADO NA PODIUM VEICULO CAMPOS;;;FINALIZADO;R$ 26.200,00
VW GOL 1.0 2010/2011 PRETO;EPY9F74;208771220;COMPRADO NA KURUMA SERRA 31.03.2021;31/03/2021;;FINALIZADO;R$ 16.200,00
RENAULT CLIO 2014/2015 PRETO;OYJ5F45;1145038465;COMPRADO NA PRIME VILA VELHA;;;FINALIZADO;R$ 17.000,00
VW GOL 1.0 2009/2009 PRATA;MSO8723;124604528;COMPRADO NA CONTAUTO VILA VELHA;;;FINALIZADO;R$ 16.250,00
FIAT PALIO FIRE WAY 2014/2015 CINZA;OYJ0A15;1011606736;COMPRADO NA CONTAUTO VITORIA;;;FINALIZADO;R$ 24.100,00
FORD FIESTA 1.6 2011/2012 PRETO;MTS1F24;325015589;COMPRADO NA KURUMA VITORIA;;;FINALIZADO;R$ 19.000,00
CITROEN C3 EXC 1.6 AUT 2011/2011 PRETOQ;ERR3H62;328786578;VEICULO COMPRADO NA KURUMA SERRA;;;FINALIZADO;R$ 17.100,00
FAT UNO ELETRONIC 1994/1995 BRANCO;MPR6355;278767431;CLIENTE LEVOU RECIBO PARA RECONHECER FIRMA NO DIA 23.04.2021 RAFAELA - 27 995838775;23/04/2021;;FINALIZADO;R$ 5.000,00
FORD ECOSPORT 1.6L 2003/2004PRATA;MPB0459;810688220;DEVOLUÇÃO DA COMPRA;;;FINALIZADO;R$ 17.900,00
VW GOL 1.0 2011/2012 PRATA;HIA6460;389038431;VEICULO COMPRADO NA PODIUM CACHOEIRO;;;FINALIZADO;R$ 15.950,00
FORD FIESTA SEDAN 1.6 2012/2012 PRATA;ODJ0D15;468248757;VEICULO COMPRADO NA KOBE VITORIA;;;FINALIZADO;R$ 21.300,00
FORD FIESTA SEDAN 2005/2005 PRETO;JQL5775;864855443;VEICULO COMPRADO NA TROCA DO GOL 1.0 2010/2011 MTS1994;;;FINALIZADO;R$ 8.000,00
GM COBALT 1.4 LT 2011/2012 PRETA;ERM9G89;420463518;COMPRADO NA KURUMA SERRA;;;FINALIZADO;R$ 20.400,00
FORD FOCUS GHIA 2.0 2002/2002 PRETO;DII4125;783499183;ENTROU NA TROCA DO CITROEN AIRCROSS NTC3401;;;FINALIZADO;R$ 6.900,00
VW VOYAGE 1.0 2010/2010 CINZA;MTC6A61;193819422;COMPRADO NA TROCA COM GRAND SIENA OPE9A79;;;FINALIZADO;R$ 20.000,00
VW VOYAGE CL MB 2014/2015 BRANCO;OYE6J14;1034871037;COMPRADO NA KURUMA CACOEIRO;;;FINALIZADO;R$ 29.000,00
GM MERIVA MAXX 2009/2009 CINZA;MSQ4J89;133404340;COMPRADO NA KURUMA VITORIA;;;FINALIZADO;R$ 19.000,00
HONDA FIT LX 2005/2005 CINZA;MQI7G07;853098140;COMPRADO NA TROCA DO GOL HIA6460;;;FINALIZADO;R$ 14.000,00
PEUGEOT 207 HB PRETO 2009/2010;KYJ3D10;157499936;COMPRADO NA CVC CACHOEIRO;;;FINALIZADO;R$ 16.200,00
GM CORSA MILLENIUM 2001/2001 PRATA;KNH8G10;757933467;COMPRADO NA TROCA DO CLASSIC DO FILHO DE SAMARA;;;FINALIZADO;R$ 6.000,00
VW VOYAGE 1.6 2012/2013 CINZA;ODG7F01;458721140;VEICULO COMPRADO NA KURUMA VITORIA EM 28.04.2021;28/04/2021;;FINALIZADO;R$ 23.500,00
FIAT IDEA ELX FLEX 2007/2007 PRETO;MRK7C10;926556207;VEICULO CPMPRADO NA VM COMERCIO DE AUT VITORIA;;;FINALIZADO;R$ 15.500,00
VW CROSSFOX 2009/2009 PRATA;MSO1C86;127279903;COMPRADO NA HONDA SHORI VILA VELHA;;;FINALIZADO;R$ 20.650,00
FIAT PUNTO ATRACTIVE 2014/2015 BRANCO;PPE4841;1038113021;VEICULO COMPRADO NA CVC SERRA;;;FINALIZADO;R$ 26.000,00
VW CROSSFOX 2006/2006 VERDE;MQT7337;888952651;VEICULO COMPRADO NA FIAT PODIUM VITORIA;;;FINALIZADO;R$ 16.800,00
FIAT PUNTO ATRACTIVE 2012/2012 BRANCO;NZU3H43;463420497;VEICULO COMPRADO NA ATLANTICA SERRA;;;FINALIZADO;R$ 18.300,00
FORD FIESTA FLEX 2011/2012 VERMELHO;OCZ8G10;344719286;COMPRADO PARTICULAR JOSE ANTONIO 27 998476369;;;FINALIZADO;R$ 16.000,00
FIAT UNO MILLE FIRE FLEX 2007/2008 VERMELHO;MRR3225;942876245;VEICULO COMPRADO NA TROCA DO PEUGEOT 207 PASSION MTR4D34;;;FINALIZADO;R$ 12.400,00
VW FOX 1.0 2009/2009 CINZA;MSR4F88;138847665;COMPRADO NA LAGE E ESCARABELI DE VITORIA;;;FINALIZADO;R$ 18.100,00
VW GOL 1.0 2012/2013 BRANCO;ODI3762;461480506;VEICULO COMPRADO NA PRIME LINHARES;;;FINALIZADO;R$ 18.500,00
FIAT PALIO FIRE FLEX 2008/2009 AZUL;MSM1I70;115673733;VEICULO COMPRADO NA CVC COLATINA;;;FINALIZADO;R$ 12.200,00
VW FOX 1.0 GII 2012/2013 PRETO;ODP4454;500389985;VEICULO COMPRADO NA PRIME VILA VELHA;;;FINALIZADO;R$ 23.500,00
FIAT SIENA FIRE 2013/2014 BEGE;OYD1275;595133924;VIECULO COMPRADO NA KURUMA VILA VELHA;;;FINALIZADO;R$ 26.000,00
VW GOL 1.0 GIV 2009/2010 BRANCO;MSS4B17;142669784;COMPRADO NA MULTI COMERCIO DE VEICULOS DE VITORIA;;ROMILDO;FINALIZADO;R$ 10.650,00
GM AGILE 2010/2011 PRETO;LLM2208;324643683;VEICULO COMPRADO NA RECREIO SERRA;;;FINALIZADO;R$ 16.000,00
FIAT UNO VIVACE 1.0 2011/2012 PRATA;MTX2479;314967460;VEICULO COMPRADO NA RECREIO SERRA;;;FINALIZADO;R$ 18.000,00
PEUGEOT 207 HB 2008/2009 PRATA;MSI8B84;986679828;COMPRADO NA TROCA DO CITROEN C3 AUT ERR3H62;;;FINALIZADO;R$ 14.000,00
FIAT IDEA ATRACTIVE 2014/2015 CINZA;PPC2G36;1027681414;VEICULO COMPRADO NA JEEP VILA VELHA;;;FINALIZADO;R$ 27.500,00
VW FOX 1.0 2009/2009 PRETO;MSP5598;132040107;VEICULO COMPRADO PARTICULAR;;;FINALIZADO;R$ 16.000,00
FIAT PALIO ATRACTV 2010/2011 PRATA;MTU1J74;251945120;VIEICULO COMPRADO NA CVC CACHOEIRO;;;FINALIZADO;R$ 22.200,00
FIAT PALIO ELX 2004/2005 CINZA;MQF0499;842084592;VEICULO COMPRADO NA TROCA DA ECOPORT 2005 MQG3B33;;;FINALIZADO;R$ 12.000,00
GM AGILE LTZ 2009/2010 PRETO;MSZ6E06;181428989;VEICULO COMPRADO NA TROCA DO CROSSFOX ODD1B88;;;FINALIZADO;R$ 21.000,00
FIAT SIENA ELX FLEX 2009/2010 BEGE;JSO5G56;165060522;COMPRADO NA TAI MOTORS VITORIA 09.04.2021;04/09/2021;;FINALIZADO;R$ 18.200,00
FIAT UNO MILLE WAY ECONOMY 2008/2009 PRATA;EEX2893;117508918;VEICULO COMPRADO NA TROCA DO IDEA MRK7C10;;;FINALIZADO;R$ 10.000,00
FIAT IDEA ELX FLEX 2008/2008 PRATA;MRW8B36;954732006;VEICULO COMPRADO NA PODIUM VILA VELHA;;;FINALIZADO;R$ 16.600,00
FIAT LINEA ABSOL DUAL 2010/2010 PRATA;HMY7F43;200029827;VEICULO COMPRADO NA ATLANTICA RENAULT SERRA;;;FINALIZADO;R$ 18.200,00
GM PRISMA 1.0 MT LT 2013/2014 PRATA;OYD4486;597290911;VEICULO COMPRADO NA TAI VITORIA;;;FINALIZADO;R$ 33.400,00
FIAT PALIO ELX FLEX 2010/2011 PRATA;MTX3E81;277458196;VEICULO COMPRADO NA CVC GUARAPARI;;;FINALIZADO;R$ 19.100,00
PEUGEOT 207 PASSION XS 2010/2011 PRATA;MTR4A34;214862119;VEICULO COMPRADO NA TROCA DO PALIO MTU1J74;;;FINALIZADO;R$ 17.400,00
PEUGEOT 207 HB XR 2009/2010 CINZA;MSY9B89;174935579;COMPRADO NA KURUMA VITORIA;;;FINALIZADO;R$ 13.500,00
FORD FIESTA 1.6 FLEX 2013/2014 PRATA;OVI0381;558291082;COMPRADO NA ATLANTICA RENAULT;;;FINALIZADO;R$ 24.750,00
VW VOYAGE 1.6 CONFRT 2009/2010 PRATA;MSS1D70;147742994;COMPRADO NA KOBE NISSAN VILA VELHA;;;FINALIZADO;R$ 22.300,00
VW GOL 1.6 2011/2011 PRETO;MTY8001;284523976;COMPRADO NA PODIUM VITORIA;;;FINALIZADO;R$ 19.900,00
FIAT SIENA FIRE FLEX 2011/2012 PRATA;OCY9820;334996708;COMPRADO NA FIAT PODIUM VITORIA;;;FINALIZADO;R$ 19.400,00
VW CROSSFOX 2008/2008 PRATA;JGJ1641;951602519;COMPRADO NA ATLANTICA RENAULT;;;FINALIZADO;R$ 20.600,00
VW GOL 1.6 2011/2011 PRETO;MTY8001;284523976;COMPRADO NA PODIUM VITORIA;;;FINALIZADO;R$ 19.900,00
VE GOL 1.6 ML RALLYE AMARELO;KWF4765;272039411;COMPRADO NA PRIME VILA VELHA;;;FINALIZADO;R$ 22.000,00
VW FOX 1.6 GII 2011/2012 BRANCO;OCZ0G19;334697484;COMPRADO NA KURUMA LINHARES;;;FINALIZADO;R$ 27.000,00
RENAULT SYMBOL EX 1.6 2012/2012 BRANCO;ODJ8832;472415247;VEICULO COMPRADO NA FIAT PODIUM VITORIA;;;FINALIZADO;R$ 16.200,00
VW GOL 1.0 2009/2009 PRETO;MSP1245;124751075;COMPRADO NA PRIME VILA VELHA;;;FINALIZADO;R$ 17.500,00
FIAT IDEA ATRACTIVE 1.4 2011/2012 PRETO;ODD9246;429722656;COMPRADO NA CVC CACHOEIRO;;;FINALIZADO;R$ 22.400,00
VW GOL 1.0 2P 2011/2011 BRANCO;MTY6E64;305928171;COMPRADO NA PODIUM VITORIA;;;FINALIZADO;R$ 13.200,00
CITROEN C3 GLX 1.4 FLEX ANO 2009/2010 PRATA;HMC2605;173114407;COMPRADO NA CVC SERRA;;;FINALIZADO;R$ 16.000,00
VW FOX1.6 PLUS 2006/2007 PRATA;DUM9105;910747598;COMPRADO NA TROCA DO PRISMA OYD4E86;;;FINALIZADO;R$ 15.000,00
FIAT PALIO FIRE 2003/2003 PRATA;MTO9995;803093241;COMPRADO NA TROCA DO CROSSFOX JGJ1G41;;;SEGUNDA VIA;R$ 7.000,00
FORD FIESTA SEDAN 1.0 FLEX 2009/2009 PRETO;MSW7H23;167049100;VEICULO COMPRADO NA PRIME CACHOEIRO;;;FINALIZADO;R$ 16.500,00
FIAT UNO VIVACE 1.0 2011/2011 VERMELHO;MTX5810;285094700;VEICULO COMPRADO NA FIAT PODIUM VILA VELHA;;;FINALIZADO;R$ 18.400,00
GM CORSA CLASSIC 2002/2003 PRATA;MTX1000;789929309;COMPRADO NA TROCA DO ECOSPORT MRA4E26;;;FINALIZADO;R$ 7.000,00
RENAULT CLIO AUT 1.0 16V 2004/2004 BRANCO;MQA3325;830263632;COMPRADO NA TROCA DO FIESTA SEDAN ODJ0D15;;;FINALIZADO;R$ 5.000,00
HONDA BIZ 125 EX 2012/2012 CINZA;ODK7709;478557183;VEICULO COMPRADO NA TROCA DO PALIO MTX3E81;;;FINALIZADO;R$ 7.000,00
FIAT SIENA EL 1.0 FLEX 2014/2015 BRANCO;LMC3A33;1215081020;COMPRADO NA RENAULT ATLANTICA;;;FINALIZADO;R$ 31.100,00
FIAT SIENA FIRE FLEX 2007/2008 VERMELHO;MRR3231;942336836;VEICULO COMPRADO NA TROCA DO SIENA OYD1C75;;;FINALIZADO;R$ 13.000,00
RENAULT FLUENCE DYN 2011/2012 PRETO;ODF1692;451953819;COMPRADO NA RENAULT SERRA;;;FINALIZADO;R$ 28.800,00
FORD FIESTA 1.0 2009/0009 PRETO;MSS8D58;146808177;CMPRADO NA PRIME SERRA;;;FINALIZADO;R$ 16.500,00
